State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Arizona,Pima,Tucson,The Tucson Pancakes & Booze Art Show,https://www.eventbrite.com/e/the-tucson-pancakes-booze-art-show-tickets-595486826127?aff=ebdssbdestsearch,,"Sat, Oct 21 •  8:00 PM ","Whistle Stop Depot 127 West 5th Street Tucson, AZ 85705",The Pancakes & Booze Art Show,,https://www.facebook.com/pancakesandboozeartshow,https://www.twitter.com/pancakesbooze,
Arizona,Pima,Tucson,Trunk or Treat Tucson 2023,https://www.eventbrite.com/e/trunk-or-treat-tucson-2023-tickets-677681432407?aff=ebdssbdestsearch,,"Sat, Oct 28 •  3:00 PM ","Synergy Plaza 2959 N Swan Rd Tucson, AZ 85712",Synergy Plaza Trunk Or Treat,,,,
Arizona,Pima,Tucson,Floating World Festival,https://www.eventbrite.com/e/floating-world-festival-tickets-714976171977?aff=ebdssbdestsearch,,Tomorrow • 4:00 PM,"The Screening Room 127 East Congress Street Tucson, AZ 85701",Horsethief Presents,,,,
Arizona,Pima,Tucson,23rd  Annual Tucson Women's Day Out Expo,https://www.eventbrite.com/e/23rd-annual-tucson-womens-day-out-expo-tickets-460336357437?aff=ebdssbdestsearch,,"Sat, Oct 21 •  10:00 AM ","Doubletree Hotel at Reid Park 445 South Alvernon Way Tucson, AZ 85711","SEI, Inc.",,https://www.facebook.com/womensdayoutexpo,https://www.twitter.com/womensexpousa,
Arizona,Pima,Tucson,Downtown Clifton Hotel's  First Annual Halloween Bar Bazaar,https://www.eventbrite.com/e/downtown-clifton-hotels-first-annual-halloween-bar-bazaar-tickets-727634322847?aff=ebdssbdestsearch,,Saturday • 6:00 PM,"The Downtown Clifton Hotel Tucson 485 South Stone Avenue Tucson, AZ 85701",The Downtown Clifton,,,,
Arizona,Pima,Tucson,"Art & Crafts Festival on Silverbell & Cortaro, Fry's Continental Plaza",https://www.eventbrite.com/e/art-crafts-festival-on-silverbell-cortaro-frys-continental-plaza-tickets-649804973167?aff=ebdssbdestsearch,,"Fri, Nov 3 •  10:00 AM ","7850 N Silverbell Rd 7850 North Silverbell Road Tucson, AZ 85743",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,,,
Arizona,Pinal,Tucson,"Awesome Art and Craft Show on Catalina Pointe, 15930 N Oracle, Catalina",https://www.eventbrite.com/e/awesome-art-and-craft-show-on-catalina-pointe-15930-n-oracle-catalina-tickets-314836383097?aff=ebdssbdestsearch,,"Fri, Oct 27 •  10:00 AM ","Catalina Pointe, 15930 N Oracle Rd 15930 North Oracle Road Catalina, AZ 85739",Nancy Criswell,http://www.artattackaz.com,,,
Arizona,Pima,Tucson,Fort Lowell Arts & Craft Fair Benefitting PACC,https://www.eventbrite.com/e/fort-lowell-arts-craft-fair-benefitting-pacc-tickets-680295330647?aff=ebdssbdestsearch,,"Sat, Nov 4 •  10:00 AM ","Faith Tabernacle Church 5011 East Fort Lowell Road Tucson, AZ 85712",Deana Mooney,,https://www.facebook.com/groups/466984510536659,,
Arizona,Pima,Tucson,"Fabulous Art & Crafts Festival on Oracle Plaza,  6346 N Oracle,",https://www.eventbrite.com/e/fabulous-art-crafts-festival-on-oracle-plaza-6346-n-oracle-tickets-649791342397?aff=ebdssbdestsearch,,"Fri, Nov 10 •  10:00 AM ","Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,,,
Arizona,Pima,Tucson,EMERGE  STUFF THE BUS and FAMILY RESOURCE FAIR,https://www.eventbrite.com/e/emerge-stuff-the-bus-and-family-resource-fair-tickets-727100867267?aff=ebdssbdestsearch,,"Sat, Oct 21 •  9:00 AM ","The Loft Cinema, East Speedway Boulevard, Tucson, AZ, USA 3233 East Speedway Boulevard Back Parking Lot Tucson, AZ 85716",Emerge Center Against Domestic Abuse,,,,
Arizona,Pinal,Tucson,Art and Craft Show on Catalina Pointe across from the Golden Goose,https://www.eventbrite.com/e/art-and-craft-show-on-catalina-pointe-across-from-the-golden-goose-tickets-649814622027?aff=ebdssbdestsearch,,"Sat, Nov 25 •  10:00 AM ","Catalina Pointe, 15930 N Oracle Rd 15930 North Oracle Road Catalina, AZ 85739",Nancy Criswell,http://www.artattackaz.com,,,
Arizona,Pima,Tucson,"Art & Crafts Fesitval,  7025 E Tanque Verde & Sabino Canyon, Big Lots",https://www.eventbrite.com/e/art-crafts-fesitval-7025-e-tanque-verde-sabino-canyon-big-lots-tickets-649790339397?aff=ebdssbdestsearch,,"Fri, Nov 17 •  10:00 AM ","7025 E Tanque Verde Rd 7025 East Tanque Verde Road Tucson, AZ 85715",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,,,
Arizona,Pima,Tucson,"Fabulous Holiday Art & Crafts Festival Oracle Plaza, 6346 N. Oracle, Tucson",https://www.eventbrite.com/e/fabulous-holiday-art-crafts-festival-oracle-plaza-6346-n-oracle-tucson-tickets-649793910077?aff=ebdssbdestsearch,,"Fri, Dec 15 •  10:00 AM ","Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,,,
Arizona,Pima,Tucson,VA Caregiver Resource Fair,https://www.eventbrite.com/e/va-caregiver-resource-fair-tickets-729036296187?aff=ebdssbdestsearch,,"Wed, Nov 8 •  11:00 AM ","SAVAHCS Auditorium 3601 South 6th Avenue SAVAHCS Auditorium Tucson, AZ 85723",,,,,
Arizona,Pima,Tucson,Trunk 'n' Treat,https://www.eventbrite.com/e/trunk-n-treat-tickets-718868634437?aff=ebdssbdestsearch,,"Sat, Oct 28 •  5:00 PM ","New Spirit Lutheran Church 8701 East Old Spanish Trail Tucson, AZ 85710",New Spirit Lutheran Church,,,,
Arizona,Pima,Tucson,"Fabulous Art & Crafts Festival on Oracle Plaza, 6346 N. Oracle, Tucson, Az",https://www.eventbrite.com/e/fabulous-art-crafts-festival-on-oracle-plaza-6346-n-oracle-tucson-az-tickets-649795615177?aff=ebdssbdestsearch,,"Fri, Feb 2 •  10:00 AM ","Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,,,
Arizona,Pima,Tucson,"Art & Crafts Festival on  7850 N Silverbell,  Cortaro) March15,16.17, 2024",https://www.eventbrite.com/e/art-crafts-festival-on-7850-n-silverbell-cortaro-march151617-2024-tickets-674418813827?aff=ebdssbdestsearch,,"Fri, Mar 15 •  10:00 AM ","7850 N Silverbell Rd 7850 North Silverbell Road Tucson, AZ 85743",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,,,
Arizona,Pinal,Tucson,"Art and Craft Show on Catalina Pointe by the Golden Goose, Mar 8,9,10, 23",https://www.eventbrite.com/e/art-and-craft-show-on-catalina-pointe-by-the-golden-goose-mar-8910-23-tickets-649818623997?aff=ebdssbdestsearch,,"Fri, Mar 8 •  10:00 AM ","Catalina Pointe, 15930 N Oracle Rd 15930 North Oracle Road Catalina, AZ 85739",Nancy Criswell,http://www.artattackaz.com,,,
Arizona,Pima,Tucson,"Art & Crafts Festival on Oracle Plaza, 6346 N Oracle, March 29-31, 2024",https://www.eventbrite.com/e/art-crafts-festival-on-oracle-plaza-6346-n-oracle-march-29-31-2024-tickets-649797189887?aff=ebdssbdestsearch,,"Fri, Mar 29 •  10:00 AM ","Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,,,
Arizona,Pima,Tucson,"Art & Crafts Show, 7025 E Tanque Verde & Sabino Canyon, Feb 23,24,25, 2024",https://www.eventbrite.com/e/art-crafts-show-7025-e-tanque-verde-sabino-canyon-feb-232425-2024-tickets-649812696267?aff=ebdssbdestsearch,,"Fri, Feb 23 •  10:00 AM ","7025 E Tanque Verde Rd 7025 East Tanque Verde Road Tucson, AZ 85715",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,,,
Arizona,Pima,Tucson,Rincon Rotary Foundation 13th Annual Taste of Chocolate,https://www.eventbrite.com/e/rincon-rotary-foundation-13th-annual-taste-of-chocolate-tickets-736598304357?aff=ebdssbdestsearch,,"Sun, Apr 7 •  2:00 PM ","Doubletree Reid Park 445 South Alvernon Way Tucson, AZ 85711",The Rincon Rotary Club Foundation,,https://www.facebook.com/TucsonTasteOfChocolate,,
Arizona,Pima,Tucson,Angels Too Marketplace,https://www.eventbrite.com/e/angels-too-marketplace-tickets-722270198607?aff=ebdssbdestsearch,,Saturday • 9:00 AM,"La Paloma Academy 8140 E. Golf Links Rd. Tucson, AZ 85730",Courtney Watson,,,,
